# CENSUS TRACT,PRIMARY,OTHER,ALL
# TOTAL,344804,501430,846234
040134214,19,19,38
040134215,22,8,30
040134216,1,0,1
040134217,3,1,4
040134218,9,2,11
040134220,1,0,1
040134221,5,8,13
040134222,72,114,186
040134223,23,42,65
040134224,7,14,21
040134225,46,40,86
040134226,59,65,124
040135227,123,106,229
040135229,2,0,2
040135230,22,20,42
040135231,18,17,35
040137233,3,0,3
040150019,2,0,2
040159503,0,1,1
040159506,0,1,1
040159507,0,1,1
040159508,1,2,3
040159509,14,21,35
040159510,9,10,19
040159511,2,2,4
040159514,4,5,9
040159515,6,11,17
040159516,10,3,13
040159517,2,2,4
040159518,0,2,2
040159519,1,4,5
040159520,11,6,17
040159524,0,1,1
040159525,1,3,4
040159528,1,5,6
040159529,1,5,6
040159530,18,19,37
040159531,2,3,5
040159532,2,9,11
040159533,0,2,2
040159534,4,4,8
040179602,3,2,5
040179604,6,2,8
040179606,9,1,10
040179607,1,1,2
040179608,2,2,4
040179609,3,0,3
040179610,1,0,1
040179611,1,8,9
040179612,4,5,9
040179613,12,12,24
040179614,17,8,25
040179650,8,2,10
040179660,9,2,11
040179672,1,2,3
040179673,10,2,12
040190001,2,4,6
040190002,0,1,1
040190003,0,1,1
040190004,7,3,10
040190005,10,11,21
040190006,27,50,77
040190007,5,4,9
040190008,1,1,2
040190009,1,0,1
040190011,3,4,7
040190012,1,1,2
040190013,4,3,7
040190014,0,2,2
040190015,24,13,37
040190016,86,270,356
040190017,5,5,10
040190018,6,22,28
040190019,11,21,32
040190020,1,3,4
040190021,1,0,1
040190022,1,2,3
040190023,1,5,6
040190024,7,20,27
040190025,19,3,22
040190026,10,6,16
040190027,31,73,104
040190028,5,28,33
040190029,56,121,177
040190030,69,95,164
040190031,5,10,15
040190032,9,26,35
040190033,18,33,51
040190034,5,6,11
040190035,6,6,12
040190036,2,6,8
040190037,1,0,1
040190038,2,0,2
040190039,1,1,2
040190040,175,280,455
040190041,13,14,27
040190042,4,0,4
040190043,36,55,91
040190044,71,113,184
040190045,12,18,30
040190046,144,199,343
040190047,250,514,764
040190048,7,3,10
040190049,1,1,2
040190050,4,0,4
040199960,0,1,1
040210001,4,0,4
040210002,0,2,2
040210003,12,6,18
040210005,1,1,2
040210006,8,6,14
040210007,3,1,4
040210008,0,1,1
040210009,5,1,6
040210010,2,0,2
040210011,2,0,2
040210012,1,1,2
040210013,12,10,22
040210014,20,15,35
040210016,1,2,3
040210017,1,0,1
040210047,2,1,3
040239960,10,4,14
040239961,7,8,15
040239962,0,1,1
040239963,1,0,1
040239964,13,3,16
040250001,0,1,1
040250002,5,3,8
040250003,4,4,8
040250004,5,11,16
040250005,2,2,4
040250006,10,3,13
040250008,6,18,24
040250009,19,24,43
040250010,32,40,72
040250011,11,21,32
040250012,5,9,14
040250013,1,0,1
040250014,1,0,1
040250015,3,0,3
040250016,5,4,9
040250017,8,16,24
040250018,13,26,39
040250019,2,1,3
040250020,23,35,58
040270001,6,9,15
040270002,1,2,3
040270004,2,0,2
040270005,16,23,39
040270006,2,0,2
040270008,20,18,38
040270009,12,19,31
040270010,11,21,32
040270011,1,4,5
040270012,4,1,5
040270109,3,9,12
040270110,0,1,1
040270111,1,1,2
040270114,1,3,4
040270115,2,3,5
050019802,0,1,1
050019803,1,2,3
050019805,9,2,11
050019807,3,1,4
050039603,1,0,1
050039604,1,0,1
050039606,11,2,13
050059501,0,3,3
050059502,11,20,31
050059503,2,12,14
050059504,17,17,34
050059507,1,5,6
050059508,3,3,6
050059509,2,2,4
050070101,2,0,2
050070105,2,0,2
050070201,1,3,4
050070202,14,14,28
050070203,11,9,20
050070204,21,17,38
050070205,6,5,11
050070206,14,15,29
050070207,4,3,7
050070208,11,10,21
050070209,7,5,12
050070210,3,0,3
050070211,2,4,6
050070212,13,0,13
050070213,14,11,25
050070214,6,4,10
050099901,2,1,3
050099902,0,1,1
050099903,3,1,4
050099904,1,3,4
050099905,22,21,43
050099906,5,4,9
050119501,3,0,3
050119503,3,1,4
050119504,1,1,2
050139802,2,0,2
050159501,8,4,12
050159502,3,1,4
050159503,11,4,15
050159504,1,0,1
050159505,1,1,2
050179801,0,1,1
050179802,6,1,7
050179803,10,3,13
050179804,1,2,3
050199536,12,4,16
050199538,3,1,4
050199539,1,0,1
050219504,5,0,5
050219506,3,0,3
050239801,2,1,3
050239802,2,1,3
050239803,1,1,2
050239804,10,6,16
050239805,5,1,6
050250020,1,0,1
050279501,1,0,1
050279502,1,0,1
